Freq.	Temp.	E'(G')	"E""(G"")"	tanD
Hz	Cel	Pa	Pa	
1	39.0580368	4099075996	130188494.5	0.03176045
0.200000003	39.88502884	4022397858	130378624.6	0.032413159
20	40.09122849	4198526452	141349199	0.033666383
10	40.30836487	4170930534	132370602.6	0.031736467
5	40.52518845	4141665132	128167203.6	0.030945815
1	40.87666702	4070762379	125353836.6	0.0307937
0.200000003	41.70647049	3989263144	134565411.2	0.033731896
20	41.91454315	4159238310	144735003.5	0.03479844
10	42.13011932	4133936106	134624636.9	0.032565728
5	42.35225296	4107768491	128240329.6	0.031218978
1	42.71903992	4044259700	123278053.3	0.030482229
0.200000003	43.56352615	3967448871	135089184.9	0.034049384
20	43.77566528	4132013759	140284191.6	0.033950564
10	43.99811172	4107425915	130075376.2	0.031668343
5	44.22618103	4081092228	125528045.3	0.030758444
1	44.5939064	4009632007	122564045.1	0.030567406
0.200000003	45.44713974	3927745549	135226178.7	0.034428447
20	45.65740204	4099372255	139746700.2	0.034089781
10	45.8723526	4074271173	131960012.4	0.032388616
5	46.11135864	4043258677	128697353.7	0.031830106
1	46.47970581	3978006964	127531641.6	0.032059181
0.200000003	47.32575607	3890642632	136596208	0.035108905
20	47.54445267	4061845395	138442990.2	0.034083765
10	47.76510239	4033803002	133067828.8	0.032988183
5	48.00695419	4004524248	128441947.5	0.032074209
1	48.37810135	3933461265	129166856.7	0.032837965
0.200000003	49.19760132	3847766833	141918246.2	0.036883276
20	49.41278458	4022494663	134145849.7	0.033348918
10	49.63541031	3994125133	128885293.1	0.032268718
5	49.85493851	3962738767	126463309	0.031913109
1	50.22515488	3892426029	125767608.5	0.032310855
0.200000003	51.06015778	3803312932	143072209.6	0.037617784
20	51.27844238	3976473510	133937881.5	0.033682577
10	51.49920654	3950172787	129400878	0.032758284
5	51.73146057	3920512235	126324698.3	0.032221477
1	52.0961647	3849316561	129000445.6	0.033512559
0.200000003	52.92200089	3759925982	142147873.1	0.03780603
20	53.13618469	3933674905	133379331.2	0.033907056
10	53.35593414	3910388098	128267595.3	0.032801755
5	53.59917068	3877111932	126869191.9	0.032722604
1	53.96634674	3804839293	130077462.5	0.034187373
